"12462: Produsentprisindeks. Olje-/ gassutv., industri, bergverksdrift og kraftforsyning (2021=100), etter marked, næring/varegruppe, måned og statistikkvariabel"

"marked";"næring/varegruppe";"måned";"Produsentprisindeks (2021=100)"
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M11";143.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M12";160.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M01";156.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M02";159.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M03";214.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M04";176.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M05";177.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M06";203.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M07";236.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M08";268.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M09";232.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M10";158.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M11";174.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2022M12";191.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M01";139.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M02";129.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M03";118.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M04";121.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M05";101.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M06";102.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M07";98.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M08";109.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M09";121.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M10";131.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M11";126.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2023M12";108.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M01";99.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M02";95.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M03";99.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M04";107.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M05";106.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M06";108.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M07";109.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M08";113.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M09";108.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M10";118.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M11";124.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2024M12";126.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2025M01";136.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2025M02";136.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2025M03";117.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2025M04";103.5
