"08981: Konsumprisindeks (2015=100), etter måned, år og statistikkvariabel"

"måned";"år";"Konsumprisindeks (2015=100)"
"Juni";"1981";32.6
"Juni";"1982";36.1
"Juni";"1983";39.3
"Juni";"1984";41.8
"Juni";"1985";44.3
"Juni";"1986";47.3
"Juni";"1987";51.5
"Juni";"1988";55.1
"Juni";"1989";57.7
"Juni";"1990";59.8
"Juni";"1991";62.0
"Juni";"1992";63.5
"Juni";"1993";65.0
"Juni";"1994";65.7
"Juni";"1995";67.5
"Juni";"1996";68.1
"Juni";"1997";70.0
"Juni";"1998";71.5
"Juni";"1999";73.2
"Juni";"2000";75.6
"Juni";"2001";78.4
"Juni";"2002";78.7
"Juni";"2003";80.1
"Juni";"2004";81.1
"Juni";"2005";82.4
"Juni";"2006";84.2
"Juni";"2007";84.5
"Juni";"2008";87.4
"Juni";"2009";90.4
"Juni";"2010";92.1
"Juni";"2011";93.4
"Juni";"2012";93.7
"Juni";"2013";95.7
"Juni";"2014";97.5
"Juni";"2015";100.1
"Juni";"2016";103.8
"Juni";"2017";105.8
"Juni";"2018";108.5
"Juni";"2019";110.6
"Juni";"2020";112.1
"Juni";"2021";115.3
"Juni";"2022";122.6
"Juni";"2023";130.4
"Juni";"2024";133.8
"Juni";"2025";.
"Juli";"1920";5.5
"Juli";"1921";5.1
"Juli";"1922";4.2
"Juli";"1923";4.0
"Juli";"1924";4.4
"Juli";"1925";4.6
"Juli";"1926";3.8
"Juli";"1927";3.5
"Juli";"1928";3.3
"Juli";"1929";3.1
"Juli";"1930";3.0
"Juli";"1931";2.8
"Juli";"1932";2.8
"Juli";"1933";2.7
"Juli";"1934";2.8
"Juli";"1935";2.8
"Juli";"1936";2.9
"Juli";"1937";3.1
"Juli";"1938";3.2
"Juli";"1939";3.2
"Juli";"1940";3.7
"Juli";"1941";4.4
"Juli";"1942";4.7
"Juli";"1943";4.8
"Juli";"1944";4.9
"Juli";"1945";4.9
"Juli";"1946";5.1
"Juli";"1947";5.1
"Juli";"1948";5.1
"Juli";"1949";5.1
"Juli";"1950";5.3
"Juli";"1951";6.3
"Juli";"1952";6.8
"Juli";"1953";6.9
"Juli";"1954";7.3
"Juli";"1955";7.2
"Juli";"1956";7.7
"Juli";"1957";7.7
"Juli";"1958";8.2
"Juli";"1959";8.3
"Juli";"1960";8.3
"Juli";"1961";8.4
"Juli";"1962";9.0
"Juli";"1963";9.2
"Juli";"1964";9.7
"Juli";"1965";10.2
"Juli";"1966";10.5
"Juli";"1967";11.0
"Juli";"1968";11.3
"Juli";"1969";11.7
"Juli";"1970";12.9
"Juli";"1971";13.7
"Juli";"1972";14.7
"Juli";"1973";15.8
"Juli";"1974";17.2
"Juli";"1975";19.5
"Juli";"1976";21.3
"Juli";"1977";23.2
"Juli";"1978";24.9
"Juli";"1979";26.0
"Juli";"1980";29.0
"Juli";"1981";33.1
"Juli";"1982";36.7
"Juli";"1983";39.6
"Juli";"1984";42.0
"Juli";"1985";44.5
"Juli";"1986";47.8
"Juli";"1987";51.6
"Juli";"1988";55.1
"Juli";"1989";57.8
"Juli";"1990";59.9
"Juli";"1991";62.0
"Juli";"1992";63.6
"Juli";"1993";64.9
"Juli";"1994";65.8
"Juli";"1995";67.4
"Juli";"1996";68.3
"Juli";"1997";69.9
"Juli";"1998";71.5
"Juli";"1999";73.0
"Juli";"2000";75.3
"Juli";"2001";77.4
"Juli";"2002";78.6
"Juli";"2003";79.8
"Juli";"2004";81.0
"Juli";"2005";82.2
"Juli";"2006";83.9
"Juli";"2007";84.3
"Juli";"2008";87.9
